BenRothwell,265.0,76.0,80.0,33.0,9.0,0,0
AlistairOvereem,265.0,76.0,69,37.0,13.0,0,0
GleisonTibau,155.0,70.0,71.0,41.0,11.0,0,0
AbelTrujillo,155.0,68.0,75,13.0,7.0,0,0
RoystonWee,135.0,67.0,73,3.0,0.0,0,0
DaveGalera,135.0,71.0,77,5.0,1.0,0,0
AndrewCraig,185.0,73.0,76.0,9.0,4.0,0,0
LymonGood,170.0,72.0,75,19.0,3.0,0,0
JustinScoggins,125.0,65.0,77,8.0,0.0,0,0
RichieVaculik,125.0,66.0,77,9.0,2.0,0,0
ZubairTuhugov,145.0,68.0,77,18.0,4.0,0,0
RenatoCarneiro,145.0,71.0,75,10.0,0.0,0,0
JamesKrause,155.0,74.0,73,21.0,5.0,0,0
JamieVarner,155.0,68.0,72.0,21.0,10.0,0,0
AlexVolkanovski,145.0,65.0,74,15.0,1.0,0,0
MizutoHirota,145.0,67.0,67.0,19.0,8.0,0,0
CainVelasquez,240.0,73.0,77.0,13.0,2.0,0,0
FabricioWerdum,231.0,76.0,77.0,20.0,5.0,0,0
MarkHunt,265.0,70.0,74.0,12.0,10.0,0,0
FrankMir,264.0,75.0,79.0,18.0,11.0,0,0
HacranDias,145.0,68.0,73,21.0,2.0,0,0
TatsuyaKawajiri,145.0,66.0,73,33.0,7.0,0,0
MichaelChiesa,155.0,73.0,68,11.0,1.0,0,0
FranciscoTrinaldo,155.0,68.0,71.0,14.0,4.0,0,0
PatrickCote,170.0,71.0,75.0,22.0,9.0,0,0
JoeRiggs,170.0,72.0,70.0,40.0,16.0,0,0
OluwaleBamgbose,185.0,71.0,76,6.0,3.0,0,0
AlessioDiChirico,185.0,72.0,72,10.0,2.0,0,0
RashidMagomedov,155.0,69.0,76,19.0,2.0,0,0
BeneilDariush,170.0,70.0,77,14.0,2.0,0,0
CodyGibson,135.0,70.0,68,11.0,4.0,0,0
BryanCaraway,135.0,68.0,68.0,18.0,6.0,0,0
RoldanSangcha'an,125.0,65.0,77,4.0,1.0,0,0
RichieVaculik,125.0,66.0,74,10.0,2.0,0,0
IanEntwistle,145.0,69.0,71,8.0,2.0,0,0
DanielHooker,145.0,72.0,68,11.0,4.0,0,0
EliasTheodorou,185.0,73.0,72,14.0,1.0,0,0
CezarFerreira,185.0,73.0,71,12.0,6.0,0,0
JonJones,205.0,76.0,85.0,21.0,1.0,0,0
DanielCormier,205.0,71.0,71.0,15.0,1.0,0,0
JoshSampo,125.0,65.0,73,11.0,3.0,0,0
ZachMakovsky,125.0,68.0,72,18.0,4.0,0,0
GeorgeSullivan,170.0,72.0,69,17.0,5.0,0,0
AlexanderYakovlev,170.0,73.0,67,23.0,6.0,0,0
RobertWhittaker,170.0,72.0,69,12.0,4.0,0,0
MikeRhodes,170.0,73.0,69,6.0,3.0,0,0
MichaelBisping,185.0,74.0,76.0,27.0,7.0,0,0
CBDollaway,185.0,74.0,76.0,16.0,8.0,0,0
JessicaAndrade,135.0,62.0,75,12.0,3.0,0,0
MarionReneau,135.0,66.0,72,7.0,1.0,0,0
DmitrySmolyakov,253.0,74.0,71,8.0,2.0,0,0
AdamWieczorek,250.0,77.0,68,8.0,1.0,0,0
BobbyGreen,155.0,70.0,73,23.0,8.0,0,0
RashidMagomedov,155.0,69.0,68,20.0,2.0,0,0
AndrewHolbrook,155.0,71.0,69,11.0,1.0,0,0
JoaquimSilva,155.0,68.0,77,9.0,1.0,0,0
